Date,Ticker,Open,High,Low,Close,Volume
2025-06-20,MSFT,482.23,483.46,476.87,477.4,37576206
2025-06-23,MSFT,478.21,487.75,472.51,486.0,24863952
2025-06-24,MSFT,488.95,491.849,486.795,490.11,22305642
2025-06-25,MSFT,492.04,494.5556,489.39,492.27,17495099
2025-06-26,MSFT,492.98,498.04,492.81,497.45,21578853
2025-06-27,MSFT,497.55,499.3,493.03,495.94,34539236
2025-06-30,MSFT,497.04,500.76,495.33,497.41,28368991
2025-07-01,MSFT,496.47,498.05,490.98,492.05,19945375
2025-07-02,MSFT,489.99,493.5,488.7,491.09,16319641
2025-07-03,MSFT,493.81,500.13,493.44,498.84,13984829
2025-07-07,MSFT,497.38,498.75,495.225,497.72,13981605
2025-07-08,MSFT,497.24,498.2,494.11,496.62,11846586
2025-07-09,MSFT,500.3,506.78,499.74,503.51,18659538
2025-07-10,MSFT,503.05,504.44,497.75,501.48,16498740
2025-07-11,MSFT,498.47,505.03,497.795,503.32,16459512
2025-07-14,MSFT,501.515,503.97,501.03,503.02,12058848
2025-07-15,MSFT,503.02,508.3,502.79,505.82,14927202
2025-07-16,MSFT,505.18,506.72,501.89,505.62,15154374
2025-07-17,MSFT,505.68,513.37,505.62,511.7,17503129
2025-07-18,MSFT,514.48,514.64,507.43,510.05,21209666
2025-07-21,MSFT,506.705,512.09,505.55,510.06,14066805
2025-07-22,MSFT,510.97,511.2,505.27,505.27,13868644
2025-07-23,MSFT,506.75,506.79,500.7,505.87,16396585
2025-07-24,MSFT,508.77,513.67,507.3,510.88,16107000
2025-07-25,MSFT,512.465,518.29,510.3592,513.71,19125699
2025-07-28,MSFT,514.08,515.0,510.12,512.5,14308027
2025-07-29,MSFT,515.53,517.62,511.56,512.57,16469235
2025-07-30,MSFT,515.17,515.95,509.435,513.24,26380434
2025-07-31,MSFT,555.225,555.45,531.9,533.5,51617326
2025-08-01,MSFT,535.0,535.8,520.86,524.11,28977628
2025-08-04,MSFT,528.27,538.25,528.13,535.64,25349004
2025-08-05,MSFT,537.18,537.3,527.24,527.75,19171569
2025-08-06,MSFT,530.9,531.7,524.03,524.94,21355702
2025-08-07,MSFT,526.8,528.09,517.5511,520.84,16079144
2025-08-08,MSFT,522.6,524.66,519.41,522.04,15531009
2025-08-11,MSFT,522.3,527.59,519.72,521.77,20194372
2025-08-12,MSFT,523.75,530.98,522.7,529.24,18688921
2025-08-13,MSFT,532.11,532.7,519.37,520.58,19619160
2025-08-14,MSFT,522.56,525.9499,520.14,522.48,20269074
